Date,Open,High,Low,Close,Volume
2025-12-22,191.33,192.78,191.24,192.6,1948900
2025-12-23,192.6,193.56,190.84,192.59,1185079
2025-12-24,192.59,194.35,190.67,190.75,1232936
2025-12-25,190.75,190.77,188.26,190.13,1556762
2025-12-26,190.13,190.88,186.61,187.91,1566325
2025-12-27,187.91,190.92,186.93,189.08,739542
2025-12-28,189.08,191.29,188.34,189.44,1254933
2025-12-29,189.44,189.65,187.21,188.03,2040078
2025-12-30,188.03,188.61,185.07,186.27,1642347
2025-12-31,186.27,186.31,185.7,186.17,1828141
2026-01-01,186.17,189.45,184.44,189.38,2316904
2026-01-02,189.38,189.88,187.51,189.55,1556143
2026-01-03,189.55,190.66,189.24,189.72,943722
2026-01-04,189.72,192.18,188.43,190.79,2403666
2026-01-05,190.79,193.3,189.43,193.02,1721734
2026-01-06,193.02,193.23,189.23,189.99,547002
2026-01-07,189.99,191.63,186.56,188.43,2465718
2026-01-08,188.43,192.09,186.75,191.15,1053672
2026-01-09,191.15,191.17,186.79,187.88,2313327
2026-01-10,187.88,187.9,185.77,187.13,2401968
2026-01-11,187.13,187.8,184.53,186.31,2057121
2026-01-12,186.31,191.09,186.19,189.51,1625478
2026-01-13,189.51,190.98,186.12,187.49,1101600
2026-01-14,187.49,187.92,185.78,187.89,2082621
2026-01-15,187.89,189.34,186.65,187.61,1045232
2026-01-16,187.61,189.73,187.55,189.34,1851172
2026-01-17,189.34,192.58,188.81,190.97,1887487
2026-01-18,190.97,191.18,188.76,189.38,747803
2026-01-19,189.38,193.34,188.77,192.22,860868
2026-01-20,192.22,193.77,189.08,190.69,1972605
2026-01-21,190.69,194.22,189.15,192.88,1887939
2026-01-22,192.88,197.57,192.27,195.81,2378625
2026-01-23,195.81,200.76,194.25,199.29,1663360
2026-01-24,199.29,202.41,198.7,201.6,1366395
2026-01-25,201.6,203.11,199.7,201.68,2360919
2026-01-26,201.68,204.05,200.06,203.03,2403462
2026-01-27,203.03,206.52,201.68,205.54,965558
2026-01-28,205.54,209.23,204.4,208.97,1168924
2026-01-29,208.97,213.36,207.05,211.34,1230409
2026-01-30,211.34,212.41,209.63,211.81,2322955
2026-01-31,211.81,212.81,210.66,212.48,2258824
2026-02-01,212.48,214.14,211.05,213.54,901341
2026-02-02,213.54,215.39,213.25,215.36,1711405
2026-02-03,215.36,216.87,214.76,214.88,2335010
2026-02-04,214.88,214.97,212.84,213.92,1638037
2026-02-05,213.92,214.35,211.34,211.66,1094561
2026-02-06,211.66,213.35,208.99,210.49,934919
2026-02-07,210.49,210.77,206.87,207.89,1959799
2026-02-08,207.89,208.19,206.32,207.61,2426593
2026-02-09,207.61,209.75,206.48,207.69,1914263
2026-02-10,207.69,210.93,207.57,210.19,572978
2026-02-11,210.19,212.19,208.32,210.81,664760
2026-02-12,210.81,212.91,207.8,208.89,1801401
2026-02-13,208.89,213.11,206.87,212.23,1785893
2026-02-14,212.23,214.34,211.29,212.91,1463626
2026-02-15,212.91,215.93,212.12,214.05,2489597
2026-02-16,214.05,215.14,212.94,212.96,1417888
2026-02-17,212.96,214.39,211.47,213.03,2019663
2026-02-18,213.03,214.14,209.84,211.01,2235922
2026-02-19,211.01,212.62,208.48,210.57,671278
2026-02-20,210.57,213.71,209.43,212.11,2034996
2026-02-21,212.11,215.23,210.58,215.02,1435549
2026-02-22,215.02,217.3,214.92,216.8,1934940
2026-02-23,216.8,217.68,214.12,214.8,2269038
2026-02-24,214.8,216.72,212.97,215.07,2140181
2026-02-25,215.07,215.66,214.18,214.82,988293
2026-02-26,214.82,215.96,213.74,213.98,646770
2026-02-27,213.98,216.7,211.95,214.81,789377
2026-02-28,214.81,215.78,213.72,214.88,574416
2026-03-01,214.88,216.03,213.62,214.75,2392403
2026-03-02,214.75,219.18,214.64,218.46,2123518
2026-03-03,218.46,218.55,217.54,217.78,811062
2026-03-04,217.78,220.14,216.84,219.82,1157191
2026-03-05,219.82,225.76,217.82,223.71,747154
2026-03-06,223.71,227.1,221.82,225.79,2408305
2026-03-07,225.79,230.08,225.3,229.33,610123
2026-03-08,229.33,234.93,228.14,233.01,1311509
2026-03-09,233.01,239.37,230.92,237.1,1161584
2026-03-10,237.1,237.63,235.5,237.56,2460268
2026-03-11,237.56,242.36,236.57,240.96,784858
2026-03-12,240.96,242.3,239.06,239.43,688890
2026-03-13,239.43,240.66,237.83,238.97,1379499
2026-03-14,238.97,241.9,237.71,241.71,779559
2026-03-15,241.71,244.19,241.31,242.11,880830
2026-03-16,242.11,245.96,240.14,244.77,1794369
2026-03-17,244.77,246.14,242.09,243.84,2404469
2026-03-18,243.84,246.95,242.04,245.52,2032348
2026-03-19,245.52,247.92,243.58,247.29,2015866
2026-03-20,247.29,248.83,241.65,243.08,611498
2026-03-21,243.08,249.6,242.24,247.14,1124830
2026-03-22,247.14,248.75,241.92,243.28,1675818
2026-03-23,243.28,247.85,243.17,246.14,1505061
2026-03-24,246.14,247.7,243.37,245.26,1227342
2026-03-25,245.26,246.42,244.28,244.97,938684
2026-03-26,244.97,247.38,243.2,246.25,583168
2026-03-27,246.25,248.12,240.97,242.62,1485775
2026-03-28,242.62,244.26,238.89,239.9,2457486
2026-03-29,239.9,240.42,238.85,239.43,2378898
2026-03-30,239.43,239.66,232.87,235.2,1668613
2026-03-31,235.2,236.39,232.26,234.6,1542632
2026-04-01,234.6,235.55,232.47,235.08,2471025
2026-04-02,235.08,239.03,234.46,237.11,1738106
2026-04-03,237.11,239.44,235.36,238.65,512384
2026-04-04,238.65,240.13,237.65,239.55,1332525
2026-04-05,239.55,242.59,238.36,240.78,1415574
2026-04-06,240.78,241.27,240.08,241.24,1693706
2026-04-07,241.24,242.32,237.22,238.43,1985728
2026-04-08,238.43,239.4,236.35,236.47,1209608
2026-04-09,236.47,239.38,234.38,237.46,2042262
2026-04-10,237.46,238.97,235.73,237.53,1932862
2026-04-11,237.53,237.68,232.67,233.96,875906
2026-04-12,233.96,234.67,229.55,230.1,850304
2026-04-13,230.1,233.42,228.27,232.08,2330734
2026-04-14,232.08,234.26,232.07,233.9,1777505
2026-04-15,233.9,236.06,229.59,230.59,511196
2026-04-16,230.59,233.18,230.28,230.91,1878302
2026-04-17,230.91,232.76,229.21,230.38,2114150
2026-04-18,230.38,235.17,230.06,233.16,809330
2026-04-19,233.16,234.86,228.94,230.21,1385891
2026-04-20,230.21,232.5,229.38,229.96,2489553
2026-04-21,229.96,231.32,227.67,228.68,1704186
2026-04-22,228.68,229.51,225.0,225.65,1494798
2026-04-23,225.65,227.79,222.83,224.49,1785300
2026-04-24,224.49,226.52,224.37,225.95,2077278
2026-04-25,225.95,226.43,223.46,225.05,516033
2026-04-26,225.05,226.66,224.29,225.44,1810135
2026-04-27,225.44,226.82,221.22,222.97,2410748
2026-04-28,222.97,224.79,219.68,220.73,1856962
2026-04-29,220.73,225.5,219.22,223.41,1693400
2026-04-30,223.41,226.26,222.44,225.51,1866336
2026-05-01,225.51,225.85,225.44,225.52,1004574
2026-05-02,225.52,227.12,223.62,224.78,1491353
2026-05-03,224.78,226.56,222.42,223.7,733509
2026-05-04,223.7,224.92,220.36,221.62,534156
2026-05-05,221.62,222.44,219.58,222.03,975134
2026-05-06,222.03,226.83,220.25,225.17,1715468
2026-05-07,225.17,226.18,219.98,222.06,2112098
2026-05-08,222.06,223.58,220.41,220.7,2069121
2026-05-09,220.7,221.49,216.49,217.72,2021800
2026-05-10,217.72,219.97,217.45,219.34,961589
2026-05-11,219.34,223.63,218.66,221.47,1908422
2026-05-12,221.47,223.1,218.67,219.69,736519
2026-05-13,219.69,220.48,219.06,220.19,759958
2026-05-14,220.19,220.53,218.93,218.98,1984262
2026-05-15,218.98,221.22,217.37,219.72,2430250
2026-05-16,219.72,219.74,217.38,218.36,1436405
2026-05-17,218.36,222.34,217.88,220.98,1346012
2026-05-18,220.98,224.36,220.2,223.54,2485301
2026-05-19,223.54,225.75,222.85,223.7,838868
2026-05-20,223.7,228.03,223.6,225.92,2328601
2026-05-21,225.92,227.45,224.02,226.67,2102379
2026-05-22,226.67,230.6,224.8,228.43,1738784
2026-05-23,228.43,230.46,224.2,225.93,1774077
2026-05-24,225.93,227.86,220.11,222.01,1457691
2026-05-25,222.01,222.34,218.8,219.98,2142493
2026-05-26,219.98,221.72,216.82,218.09,1216055
2026-05-27,218.09,219.11,214.48,214.58,1979193
2026-05-28,214.58,217.52,213.05,215.59,1378029
2026-05-29,215.59,217.55,211.45,211.82,1995804
2026-05-30,211.82,212.73,209.37,211.0,1210723
2026-05-31,211.0,211.03,208.21,209.99,926049
2026-06-01,209.99,211.48,208.96,209.4,1778730
2026-06-02,209.4,214.0,207.98,213.14,2232777
2026-06-03,213.14,217.35,212.96,215.49,1463663
2026-06-04,215.49,215.87,213.71,214.1,1439993
2026-06-05,214.1,214.84,213.49,214.08,2108679
2026-06-06,214.08,214.33,210.8,211.96,2089892
2026-06-07,211.96,212.74,207.73,208.42,1788017
2026-06-08,208.42,209.91,203.21,205.16,2324888
2026-06-09,205.16,205.21,202.35,203.89,2201525
2026-06-10,203.89,205.68,202.95,205.62,2094646
2026-06-11,205.62,206.27,205.6,205.61,694191
2026-06-12,205.61,208.38,204.6,207.75,988113
2026-06-13,207.75,212.02,205.81,209.99,900680
2026-06-14,209.99,211.95,208.26,210.97,690550
2026-06-15,210.97,213.62,209.18,211.53,2014858
2026-06-16,211.53,214.32,211.17,213.57,2065563
2026-06-17,213.57,213.98,211.68,211.96,684326
2026-06-18,211.96,213.8,208.44,209.14,862133
2026-06-19,209.14,211.03,208.3,210.26,1529954
